Processed DateTime,Device Make,Aperture (f/_),ISO,Image Width,File Path,Filename,File Size,Focal Length (mm),Image DateTime,Device Model,Image Format,Image Mode,Megapixels,Image Height,Shutter Speed,Image Size
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 10:41:16 emboss.jpg,2020-10-09 10:41:16 emboss.jpg,955313,3.039,2020-10-09 10:41:16,RP_imx219,JPEG,RGB,1.2,960,0.001692,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 14:33:45 solarize.jpg,2020-10-27 14:33:45 solarize.jpg,3160651,3.039,2020-10-27 14:33:45,RP_imx219,JPEG,RGB,4.9,1920,0.00052,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:18:00 watercolor.jpg,2020-10-27 11:18:00 watercolor.jpg,6078772,3.039,2020-10-27 11:18:00,RP_imx219,JPEG,RGB,4.9,1920,0.00137,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:21:48 oilpaint.jpg,2020-10-27 11:21:48 oilpaint.jpg,3269504,3.039,2020-10-27 11:21:48,RP_imx219,JPEG,RGB,4.9,1920,0.001352,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,16,2560,/home/pi/picamera/output/2020-10-27 11:16:07 none.jpg,2020-10-27 11:16:07 none.jpg,2210766,3.039,2020-10-27 11:16:07,RP_imx219,JPEG,RGB,4.9,1920,0.012146,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 10:40:40 watercolor.jpg,2020-10-27 10:40:40 watercolor.jpg,5949954,3.039,2020-10-27 10:40:40,RP_imx219,JPEG,RGB,4.9,1920,0.001938,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 11:09:54 solarize.jpg,2020-10-09 11:09:54 solarize.jpg,697424,3.039,2020-10-09 11:09:54,RP_imx219,JPEG,RGB,1.2,960,0.001163,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,16,1280,/home/pi/picamera/output/2020-10-09 11:09:37 none.jpg,2020-10-09 11:09:37 none.jpg,482359,3.039,2020-10-09 11:09:37,RP_imx219,JPEG,RGB,1.2,960,0.012202,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 14:33:32 sketch.jpg,2020-10-27 14:33:32 sketch.jpg,6015905,3.039,2020-10-27 14:33:32,RP_imx219,JPEG,RGB,4.9,1920,0.000501,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 10:41:06 watercolor.jpg,2020-10-09 10:41:06 watercolor.jpg,1310379,3.039,2020-10-09 10:41:06,RP_imx219,JPEG,RGB,1.2,960,0.001692,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 11:09:44 cartoon.jpg,2020-10-09 11:09:44 cartoon.jpg,647025,3.039,2020-10-09 11:09:44,RP_imx219,JPEG,RGB,1.2,960,0.001163,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-09 13:23:43 solarize.jpg,2020-10-09 13:23:43 solarize.jpg,3155577,3.039,2020-10-09 13:23:43,RP_imx219,JPEG,RGB,4.9,1920,0.00035,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-09 13:23:46 colorpoint.jpg,2020-10-09 13:23:46 colorpoint.jpg,3009827,3.039,2020-10-09 13:23:46,RP_imx219,JPEG,RGB,4.9,1920,0.00035,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 14:33:29 watercolor.jpg,2020-10-27 14:33:29 watercolor.jpg,6019706,3.039,2020-10-27 14:33:29,RP_imx219,JPEG,RGB,4.9,1920,0.000501,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 10:40:45 cartoon.jpg,2020-10-27 10:40:45 cartoon.jpg,2302698,3.039,2020-10-27 10:40:45,RP_imx219,JPEG,RGB,4.9,1920,0.001957,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:16:20 emboss.jpg,2020-10-27 11:16:20 emboss.jpg,4004455,3.039,2020-10-27 11:16:20,RP_imx219,JPEG,RGB,4.9,1920,0.00137,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:21:35 watercolor.jpg,2020-10-27 11:21:35 watercolor.jpg,6073914,3.039,2020-10-27 11:21:35,RP_imx219,JPEG,RGB,4.9,1920,0.001352,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 10:41:23 colorpoint.jpg,2020-10-09 10:41:23 colorpoint.jpg,793391,3.039,2020-10-09 10:41:23,RP_imx219,JPEG,RGB,1.2,960,0.001692,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 11:09:52 oilpaint.jpg,2020-10-09 11:09:52 oilpaint.jpg,816746,3.039,2020-10-09 11:09:52,RP_imx219,JPEG,RGB,1.2,960,0.001163,"(1280, 960)"
